id,name,postalCode,address,status,websiteUrl,lat,lng,openedOn,closedOn,movedToId,category,genres,relatedEntities,notes,sources
122,みんなでつくる自然史博物館・香川,766-0202,香川県仲多度郡まんのう町中通838 琴南地域活性化センター（旧琴南中学校） 3F,open,https://www.kcmnh.org/,,,,,,自然史博物館,自然史,特定非営利活動法人みんなでつくる自然史博物館・香川,,
123,二宮忠八飛行館,769-0319,香川県仲多度郡まんのう町追上358-1,open,https://www.shioiri-onsen.jp/learn/,,,,,,博物館,乗り物,有限会社仲南振興公社,,
124,金陵の郷,766-0001,香川県仲多度郡琴平町623,open,https://www.nishino-kinryo.co.jp/museum/,,,,,,博物館,お酒,西野金陵株式会社,,
125,金刀比羅宮 高橋由一館,766-8501,香川県仲多度郡琴平町892-1,open,https://www.konpira.or.jp/index.htm?stageID=hp_museum,,,,,,美術館,美術,金刀比羅宮,,
126,金刀比羅宮 書院（表書院・裏書院・白書院）,766-8501,香川県仲多度郡琴平町892-1,open,https://www.konpira.or.jp/index.htm?stageID=hp_museum,,,,,,美術館,美術,金刀比羅宮,,
127,金刀比羅宮 宝物館,766-8501,香川県仲多度郡琴平町892-1,open,https://www.konpira.or.jp/index.htm?stageID=hp_museum,,,,,,美術館,美術,金刀比羅宮,,
128,琴平海洋博物館（海の科学館）,766-0001,香川県仲多度郡琴平町953,open,https://kotohira.kaiyohakubutukan.or.jp/,,,,,,博物館,,公益財団法人琴平海洋会館,,
129,多度津町立資料館,764-0002,香川県仲多度郡多度津町家中1-6,open,https://www.tadotsu.org/contents.cgi?contents_id=26,,,,,,郷土博物館,歴史,"多度津町, 公益財団法人多度津町文化体育振興事業団",,
130,東かがわ市歴史民俗資料館,769-2901,香川県東かがわ市引田1000-4,open,https://sites.google.com/view/higashikagawa-rekimin/,,,,,,郷土博物館,歴史,東かがわ市,,
131,しろとり動物園,769-2702,香川県東かがわ市松原2111,open,http://shirotorizoo.com/,,,,,,動物園,,株式会社白鳥どうぶつ園,,
132,東かがわ市とらまるパペットランド,769-2604,香川県東かがわ市西村1155 とらまる公園内,open,https://toramaru.jp/index.html,,,,,,テーマパーク,パペット,一般社団法人パペットナビゲート,,
133,ミニチュア児遊館,769-2604,香川県東かがわ市西村1155 とらまる公園内 東かがわ市とらまるパペットランド,open,https://toramaru.jp/06s_mini/index.html,,,,,,テーマパーク,建築,一般社団法人パペットナビゲート,,
134,とらまる人形劇ミュージアム,769-2604,香川県東かがわ市西村1155 とらまる公園内 東かがわ市とらまるパペットランド,open,https://toramaru.jp/05s_museum/index.html,,,,,,博物館,人形劇,一般社団法人パペットナビゲート,,
135,香川のてぶくろ資料館,769-2701,香川県東かがわ市湊1810-1 日本手袋工業組合内,open,https://www.tebukurokumiai.jp/museum/,,,,,,博物館,手袋,日本手袋工業組合,,
136,ファイブ・ペニイズ,761-0823,香川県木田郡三木町井戸2606-7,open,https://www.five-p.jp/five/,,,,,,ギャラリー,"クラフト, インテリア",株式会社セカンドブレイン,,
137,高松市こども未来館,760-0068,香川県高松市松島町1-15-1,open,https://takamatsu-miraie.com/,,,,,,科学博物館,"科学, 天文",高松市,,
138,高松市平和記念館,760-0068,香川県高松市松島町1-15-1 高松市こども未来館 5F,open,https://www.city.takamatsu.kagawa.jp/smph/kurashi/shinotorikumi/jinken/keihatsu/heiwa/index.html,,,,,,博物館,歴史,高松市,,
